Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings,40+ Wickets Taken,<30.00 Bowling Avg,<8.00 Economy Rate,<25.00 Bowling Strike Rate
RML Taylor (2013-2016),9,150,196,5,3/17,39.20,7.84,30.0,0,0,0,0,0,0
BTJ Wheal (2016-2017),5,"103,2",143,5,3/20,28.60,8.25,20.8,0,0,0,0,0,0
PL Mommsen (2012-2016),7,138,164,4,1/23,41.00,7.13,34.5,0,0,0,0,0,0
CM Wright (2007-2009),2,30,49,4,3/29,12.25,9.80,7.5,0,0,0,0,0,0
CG Burnett (2013-2013),1,24,18,3,3/18,6.00,4.50,8.0,0,0,0,0,0,0
JH Stander (2009-2012),7,"79,8",156,3,2/24,52.00,11.55,27.0,0,0,0,0,0,0
RR Watson (2007-2010),5,60,92,3,1/4,30.66,9.20,20.0,0,0,0,0,0,0
MM Iqbal (2012-2013),3,48,59,2,2/15,29.50,7.37,24.0,0,0,0,0,0,0
CS MacLeod (2009-2017),6,78,111,2,2/17,55.50,8.53,39.0,0,0,0,0,0,0
GI Maiden (2008-2008),3,60,58,2,1/20,29.00,5.80,30.0,0,0,0,0,0,0
GT Main (2015-2016),2,24,34,2,1/13,17.00,8.50,12.0,0,0,0,0,0,0
GA Rogers (2008-2009),2,45,67,2,2/15,33.50,8.55,23.5,0,0,0,0,0,0
RT Lyons (2010-2010),2,36,40,1,1/26,40.00,6.66,36.0,0,0,0,0,0,0
MA Parker (2012-2012),2,36,61,1,1/36,61.00,10.16,36.0,0,0,0,0,0,0
DR Brown (2007-2007),1,24,44,0,-,-,11.00,-,0,0,0,0,0,0
CB Sole (2017-2017),1,24,22,0,-,-,5.50,-,0,0,0,0,0,0
FRJ Coleman (2013-2013),-,,-,-,-,-,-,-,-,-,0,0,0,0
MH Cross (2013-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
R Flannigan (2012-2012),-,,-,-,-,-,-,-,-,-,0,0,0,0
GM Hamilton (2007-2010),-,,-,-,-,-,-,-,-,-,0,0,0,0
NFI McCallum (2007-2010),-,,-,-,-,-,-,-,-,-,0,0,0,0
