Player,Innings Fielded,Fielding Dismissals Made,Catches Taken,Stumpings Made,Catches As A Keeper,Catches As A Fielder,Max Dismissals In An Innings,Dismissals Per Innings
R Telemachus (2006-2007),3,0,0,0,0,0,0,0.000
AC Thomas (2007-2007),1,0,0,0,0,0,0,0.000
JJ van der Wath (2006-2007),8,0,0,0,0,0,0,0.000
VB van Jaarsveld (2009-2009),3,0,0,0,0,0,0,0.000
DJ Vilas (2012-2012),1,0,0,0,0,0,0,0.000
M Zondeki (2006-2006),1,0,0,0,0,0,0,0.000
D Ramdin (2006-2016),58,51,32,19,32,0,4 (0ct 4st),0.879
DJ Bravo (2006-2016),66,35,35,0,0,35,3 (3ct 0st),0.530
DJG Sammy (2007-2016),66,30,30,0,0,30,4 (4ct 0st),0.454
KA Pollard (2008-2017),56,25,25,0,0,25,2 (2ct 0st),0.446
ADS Fletcher (2008-2016),32,20,19,1,10,9,3 (2ct 1st),0.625
LMP Simmons (2007-2017),45,19,19,0,1,18,3 (3ct 0st),0.422
CH Gayle (2006-2017),52,14,14,0,0,14,1 (1ct 0st),0.269
J Charles (2011-2016),34,12,10,2,0,10,2 (2ct 0st),0.352
MN Samuels (2007-2017),60,12,12,0,0,12,2 (2ct 0st),0.200
CAK Walton (2014-2017),12,11,9,2,8,1,3 (3ct 0st),0.916
SJ Benn (2008-2016),24,10,10,0,0,10,3 (3ct 0st),0.416
AD Russell (2011-2016),43,10,10,0,0,10,2 (2ct 0st),0.232
DR Smith (2006-2015),33,8,8,0,0,8,1 (1ct 0st),0.242
JE Taylor (2006-2017),28,8,8,0,0,8,1 (1ct 0st),0.285
S Badree (2012-2017),40,7,7,0,0,7,2 (2ct 0st),0.175
S Chanderpaul (2006-2010),22,7,7,0,0,7,1 (1ct 0st),0.318
SP Narine (2012-2017),48,7,7,0,0,7,2 (2ct 0st),0.145
RR Sarwan (2007-2010),18,7,7,0,0,7,1 (1ct 0st),0.388
CR Brathwaite (2011-2017),22,6,6,0,0,6,2 (2ct 0st),0.272
FH Edwards (2007-2012),20,5,5,0,0,5,1 (1ct 0st),0.250
E Lewis (2016-2017),14,5,5,0,0,5,2 (2ct 0st),0.357
DP Hyatt (2011-2012),5,4,4,0,0,4,1 (1ct 0st),0.800
R Powell (2017-2017),7,4,4,0,0,4,2 (2ct 0st),0.571
JO Holder (2014-2017),8,3,3,0,0,3,2 (2ct 0st),0.375
XM Marshall (2008-2009),6,3,3,0,0,3,1 (1ct 0st),0.500
KOK Williams (2016-2017),10,3,3,0,0,3,1 (1ct 0st),0.300
CD Barnwell (2011-2013),6,2,2,0,0,2,1 (1ct 0st),0.333
DM Bravo (2010-2014),12,2,2,0,0,2,2 (2ct 0st),0.166
N Deonarine (2010-2013),8,2,2,0,0,2,2 (2ct 0st),0.250
A Martin (2011-2011),1,2,2,0,0,2,2 (2ct 0st),2.000
NO Miller (2009-2014),9,2,2,0,0,2,1 (1ct 0st),0.222
RS Morton (2006-2010),7,2,2,0,0,2,1 (1ct 0st),0.285
DBL Powell (2007-2007),5,2,2,0,0,2,1 (1ct 0st),0.400
R Rampaul (2007-2015),23,2,2,0,0,2,1 (1ct 0st),0.086
AB Barath (2010-2011),2,1,1,0,0,1,1 (1ct 0st),0.500
IDR Bradshaw (2006-2006),1,1,1,0,0,1,1 (1ct 0st),1.000
DK Butler (2006-2006),1,1,1,0,0,1,1 (1ct 0st),1.000
SS Cottrell (2014-2015),6,1,1,0,0,1,1 (1ct 0st),0.166
SE Findlay (2008-2008),2,1,1,0,0,1,1 (1ct 0st),0.500
ST Gabriel (2013-2013),2,1,1,0,0,1,1 (1ct 0st),0.500
WW Hinds (2006-2010),5,1,1,0,0,1,1 (1ct 0st),0.200
RN Lewis (2008-2008),1,1,1,0,0,1,1 (1ct 0st),1.000
GE Mathurin (2011-2012),3,1,1,0,0,1,1 (1ct 0st),0.333
AR Nurse (2011-2017),5,1,1,0,0,1,1 (1ct 0st),0.200
WKD Perkins (2008-2008),1,1,1,0,0,1,1 (1ct 0st),1.000
KOA Powell (2014-2014),1,1,1,0,0,1,1 (1ct 0st),1.000
FL Reifer (2009-2009),1,1,1,0,0,1,1 (1ct 0st),1.000
KAJ Roach (2008-2012),11,1,1,0,0,1,1 (1ct 0st),0.090
K Santokie (2011-2014),12,1,1,0,0,1,1 (1ct 0st),0.083
DS Smith (2007-2009),6,1,1,0,0,1,1 (1ct 0st),0.166
DC Thomas (2009-2013),3,1,0,1,0,0,1 (0ct 1st),0.333
GC Tonge (2009-2009),1,1,1,0,0,1,1 (1ct 0st),1.000
LS Baker (2008-2009),3,0,0,0,0,0,0,0.000
MC Bascombe (2011-2011),1,0,0,0,0,0,0,0.000
CS Baugh (2008-2012),3,0,0,0,0,0,0,0.000
DE Bernard (2009-2009),1,0,0,0,0,0,0,0.000
TL Best (2013-2014),6,0,0,0,0,0,0,0.000
D Bishoo (2011-2015),5,0,0,0,0,0,0,0.000
NE Bonner (2011-2012),2,0,0,0,0,0,0,0.000
DO Christian (2011-2011),2,0,0,0,0,0,0,0.000
TM Dowlin (2009-2010),2,0,0,0,0,0,0,0.000
D Ganga (2006-2006),1,0,0,0,0,0,0,0.000
JN Mohammed (2017-2017),5,0,0,0,0,0,0,0.000
BA Parchment (2007-2007),1,0,0,0,0,0,0,0.000
N Pooran (2016-2016),3,0,0,0,0,0,0,0.000
ACL Richards (2007-2007),1,0,0,0,0,0,0,0.000
DM Richards (2009-2009),1,0,0,0,0,0,0,0.000
BB McCullum (2005-2015),71,44,36,8,24,12,3 (3ct 0st),0.619
LRPL Taylor (2006-2016),73,42,42,0,0,42,3 (3ct 0st),0.575
MJ Guptill (2009-2017),64,36,36,0,0,36,3 (3ct 0st),0.562
L Ronchi (2013-2017),29,29,24,5,24,0,3 (3ct 0st),1.000
NL McCullum (2007-2016),63,26,26,0,0,26,3 (3ct 0st),0.412
KS Williamson (2011-2017),42,20,20,0,0,20,3 (3ct 0st),0.476
CJ Anderson (2012-2017),29,18,18,0,0,18,4 (4ct 0st),0.620
TG Southee (2008-2017),41,16,16,0,0,16,2 (2ct 0st),0.390
JEC Franklin (2006-2013),38,13,13,0,0,13,2 (2ct 0st),0.342
JDP Oram (2005-2012),36,12,12,0,0,12,2 (2ct 0st),0.333
TA Boult (2013-2017),17,10,10,0,0,10,3 (3ct 0st),0.588
MJ Santner (2015-2017),17,10,10,0,0,10,2 (2ct 0st),0.588
PD McGlashan (2006-2010),11,9,9,0,9,0,3 (3ct 0st),0.818
DL Vettori (2007-2014),34,9,9,0,0,9,2 (2ct 0st),0.264
KD Mills (2005-2014),42,8,8,0,0,8,1 (1ct 0st),0.190
C Munro (2012-2017),35,8,8,0,0,8,2 (2ct 0st),0.228
SB Styris (2005-2010),31,8,8,0,0,8,2 (2ct 0st),0.258
MJ McClenaghan (2012-2016),28,7,7,0,0,7,1 (1ct 0st),0.250
JDS Neesham (2012-2017),15,7,7,0,0,7,2 (2ct 0st),0.466
JD Ryder (2008-2014),22,7,7,0,0,7,2 (2ct 0st),0.318
C de Grandhomme (2012-2017),11,6,6,0,0,6,2 (2ct 0st),0.545
GJ Hopkins (2007-2010),10,6,4,2,2,2,2 (2ct 0st),0.600
TWM Latham (2012-2017),13,6,6,0,4,2,3 (3ct 0st),0.461
DAJ Bracewell (2011-2015),14,5,5,0,0,5,1 (1ct 0st),0.357
AF Milne (2010-2017),19,5,5,0,0,5,1 (1ct 0st),0.263
RJ Nicol (2010-2013),21,5,5,0,0,5,2 (2ct 0st),0.238
SE Bond (2005-2010),20,4,4,0,0,4,1 (1ct 0st),0.200
NT Broom (2009-2017),11,4,4,0,0,4,1 (1ct 0st),0.363
TC Bruce (2017-2017),7,4,4,0,1,3,2 (2ct 0st),0.571
GD Elliott (2009-2016),16,4,4,0,0,4,2 (2ct 0st),0.250
PG Fulton (2006-2012),12,4,4,0,0,4,1 (1ct 0st),0.333
JS Patel (2005-2008),11,4,4,0,0,4,1 (1ct 0st),0.363
IS Sodhi (2014-2017),15,4,4,0,0,4,1 (1ct 0st),0.266
NJ Astle (2005-2006),4,3,3,0,0,3,2 (2ct 0st),0.750
DG Brownlie (2010-2014),5,3,3,0,0,3,1 (1ct 0st),0.600
IG Butler (2009-2013),19,3,3,0,0,3,1 (1ct 0st),0.157
CD McMillan (2005-2007),8,3,3,0,0,3,2 (2ct 0st),0.375
AJ Redmond (2009-2010),7,3,3,0,0,3,2 (2ct 0st),0.428
BJ Watling (2009-2014),5,3,3,0,2,1,1 (1ct 0st),0.600
TD Astle (2016-2016),2,2,2,0,0,2,1 (1ct 0st),1.000
AP Devcich (2013-2014),4,2,2,0,0,2,2 (2ct 0st),0.500
SP Fleming (2005-2006),5,2,2,0,0,2,1 (1ct 0st),0.400
DR Flynn (2008-2012),5,2,2,0,0,2,1 (1ct 0st),0.400
RM Hira (2012-2013),15,2,2,0,0,2,1 (1ct 0st),0.133
GD Phillips (2017-2017),3,2,2,0,2,0,2 (2ct 0st),0.666
AR Adams (2005-2006),4,1,1,0,0,1,1 (1ct 0st),0.250
GW Aldridge (2011-2011),1,1,1,0,0,1,1 (1ct 0st),1.000
CL Cairns (2005-2006),2,1,1,0,0,1,1 (1ct 0st),0.500
MR Gillespie (2006-2008),11,1,1,0,0,1,1 (1ct 0st),0.090
MJ Henry (2014-2017),6,1,1,0,0,1,1 (1ct 0st),0.166
JM How (2007-2008),5,1,1,0,0,1,1 (1ct 0st),0.200
PJ Ingram (2010-2010),3,1,1,0,0,1,1 (1ct 0st),0.333
HJH Marshall (2005-2006),3,1,1,0,0,1,1 (1ct 0st),0.333
CS Martin (2007-2008),6,1,1,0,0,1,1 (1ct 0st),0.166
